brand,model,spec,Model Year,dB_at_idle,dB_at_50kmh,dB_at_80kmh,dB_at_100kmh,dB_at_120kmh,dB_at_140kmh,Trim,Model Year,Body Style,Number of Cylinders,Engine Type,Fuel,Model Drive,Transmission Type,Car Weight in Kg,Displacement in Litres,Engine Power (HP),Engine Torque (lbf),Weight in lbs,Country of Origin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porsche,Cayman, ,2008,46.3,57,65.6,68.5,71.4,74.7,S Automatic,2008,Coupe,6,boxer,Gasoline - Premium,Rear,Automatic,1415,3.4,291,251,3120,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scion,tC,2.5,2011,43.5,56,63.7,68.2,70,71.8,Automatic,2011,Coupe,4,in-line,Gasoline,Front,Automatic,1388,2.5,180,173,3060,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan,Murano,3.5 V6,2009,41.6,54.1,61.8,66.1,68.5,70.9,3.5 V6 4WD,2009,Crossover,6,V,Gasoline,4WD,Automatic,1870,3.5,231,235,4123,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford,Edge, ,2011,39.2,54.8,64.6,69.6,74.1,78.6,SEL,2011,Crossover,6,V,Gasoline,Front,Automatic,1852,3.5,285,253,4083,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMC,Terrain,3.0 V6,2010,35.6,48.4,56.4,60.8,63.5,66.3,SLE-1,2010,Crossover,4,in-line,Gasoline,Front,Automatic,1718,2.4,182,172,3788,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chevrolet,Traverse,3.6 V6,2009,42.4,53.6,60.7,64.3,67.7,71.2,LS AWD,2009,Crossover,6,V,Gasoline,4WD,Automatic,1145,3.6,281,266,2524,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford,Flex,3.5 V6,2009,44.6,55.3,62,65.6,68,70.4,Limited,2009,Crossover,6,V,Gasoline,Front,Automatic,966,3.5,262,248,2130,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Prius,1.8,2009,44.9,55.3,63.6,66.7,69.2,72.1,Liftback,2009,Hatchback,4,in-line,Gasoline / Electric Hybrid,Front,Automatic,1684,1.5,110,82,3713,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Prius, ,2009,39.9,54.8,63.7,69.6,69.9,70.2,Liftback,2009,Hatchback,4,in-line,Gasoline / Electric Hybrid,Front,Automatic,1684,1.5,110,82,3713,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini,Cooper,D,2008,49.2,64.1,72.1,73.1,74.1,76.1,Steptronic,2008,Hatchback,4,in-line,Gasoline,Front,Automatic,1315,1.6,118,118,2899,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Yaris,1.3,2011,46.6,60,65.2,68.1,71.8,75.3,Automatic,2011,Hatchback,4,in-line,Gasoline,Front,Automatic,1049,1.5,106,103,2313,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford,Taurus,3.5 V6,2016,42.7,55,62.5,67.1,68.3,69.5,Limited 4dr Sedan AWD (3.5L 6cyl 6A),2016,Large,6,V,Flex-Fuel (Unleaded/E85),All Wheel Drive,Automatic,4249,3.5,284,187,9367,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguar,XJ,5.0 V8,2014,40.6,50.3,56.5,59.2,63.3,67.5,XJR LWB 4dr Sedan (5.0L 8cyl S/C 8A),2014,Large,8,V,Gasoline - Premium,Rear Wheel Drive,Automatic,1880,5,542,370,4145,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chevrolet,SS,6.2 V8,2014,45.8,55.3,61.3,64,67.9,71.8,4dr Sedan (6.2L 8cyl 6A),2014,Large,8,V,Gasoline - Premium,Rear Wheel Drive,Automatic,1803,6.2,409,306,3975,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,S8, ,2016,39.9,55.8,59.5,63.3,64.3,67.6,quattro 4dr Sedan AWD (4.0L 8cyl Turbo 8A),2016,Midsize,8,V,Gasoline - Premium,All Wheel Drive,Automatic,4685,4,513,355,10329,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguar,XF,3.0D,2016,48.1,57.2,60.7,64.3,67.3,70.7,XFR-S 4dr Sedan (5.0L 8cyl S/C 8A),2016,Midsize,8,V,Gasoline - Premium,Rear Wheel Drive,Automatic,4380,5,542,370,9656,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,A6,2.0 TDI Stationcar,2016,41.9,57.8,60.5,63.3,65.2,68.6,TDI Prestige quattro 4dr Sedan AWD (3.0L 6cyl Turbodiesel 8A),2016,Midsize,6,V,Diesel,All Wheel Drive,Automatic,4178,3,237,316,9211,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguar,XF,2,2016,44.2,59.5,63,64,66,68,Portfolio 4dr Sedan AWD (3.0L 6cyl S/C 8A),2016,Midsize,6,V,Gasoline - Premium,All Wheel Drive,Automatic,4145,3,335,245,9138,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,A6,3.0 TDI,2015,41.6,56.2,60.1,63.9,66.6,68.3,3.0T Premium Plus quattro 4dr Sedan AWD (3.0L 6cyl S/C 8A),2015,Midsize,6,V,Gasoline - Premium,All Wheel Drive,Automatic,4101,3,306,240,9041,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,A6,2.0 TDI,2016,39.9,59.8,61.5,63.3,64.3,67.6,3.0T Prestige quattro 4dr Sedan AWD (3.0L 6cyl S/C 8A),2016,Midsize,6,V,Gasoline - Premium,All Wheel Drive,Automatic,4101,3,306,240,9041,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,A6,3.0 TDI,2016,48.1,57.2,61.2,65.3,66.3,69.7,3.0T Premium Plus quattro 4dr Sedan AWD (3.0L 6cyl S/C 8A),2016,Midsize,6,V,Gasoline - Premium,All Wheel Drive,Automatic,4101,3,306,240,9041,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,A6,3.0 TDI,2017,41.9,56.8,60.5,64.3,65.2,68.6,3.0T Prestige quattro 4dr Sedan AWD (3.0L 6cyl S/C 8A),2017,Midsize,6,V,Gasoline - Premium,All Wheel Drive,Automatic,4101,3,306,240,9041,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,RLX,3.5 V6,2016,42.2,51.1,56.7,59.4,62.6,65.9,Krell Audio Package 4dr Sedan (3.5L 6cyl 6A),2016,Midsize,6,V,Gasoline - Premium,Front Wheel Driv,Automatic,3981,3.5,306,201,8777,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,A6,2.0 TDI,2015,45.1,57.5,61.5,64,66,67.5,2.0T Premium quattro 4dr Sedan AWD (2.0L 4cyl Turbo 8A),2015,Midsize,4,Inline,Gasoline - Premium,All Wheel Drive,Automatic,3957,2,217,190,8724,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,A6,2.0 TDI,2016,43.9,53.1,57.3,60.1,64,67.6,2.0T Premium quattro 4dr Sedan AWD (2.0L 4cyl Turbo 8A),2016,Midsize,4,Inline,Gasoline - Premium,All Wheel Drive,Automatic,3957,2,217,190,8724,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,A6,2.0 TDI,2017,40.9,56.8,60,63.3,64.3,67.6,2.0T Premium quattro 4dr Sedan AWD (2.0L 4cyl Turbo 8A),2017,Midsize,4,Inline,Gasoline - Premium,All Wheel Drive,Automatic,3957,2,217,190,8724,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,A6,3.0 TDI stationcar,2017,39.9,56.8,60,63.3,65.2,68.6,2.0T Premium quattro 4dr Sedan AWD (2.0L 4cyl Turbo 8A),2017,Midsize,4,Inline,Gasoline - Premium,All Wheel Drive,Automatic,3957,2,217,190,8724,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguar,XF,2.0d,2017,45.2,54.5,58.3,62.6,68.9,69,Sport 4dr Sedan (3.0L 6cyl S/C 8A),2017,Midsize,6,V,Gasoline - Premium,Rear Wheel Drive,Automatic,3902,3,335,245,8602,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,A6,2.0 TFSI,2017,39.9,53.8,58.5,63.3,65.2,68.6,2.0T Premium 4dr Sedan (2.0L 4cyl Turbo CVT),2017,Midsize,4,Inline,Gasoline - Premium,Front Wheel Driv,Automatic,3726,2,217,190,8214,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chevrolet,Malibu,1.5,2016,42.7,55.3,62.9,67.6,68.8,70,LTZ 4dr Sedan w/2LZ (2.0L 4cyl Turbo 6A),2016,Midsize,4,Inline,Gasoline - Premium,Front Wheel Driv,Automatic,3660,2,255,218,8069,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Avalon,2.5 Hybrid,2016,39.4,50.6,57.4,61.4,63.2,65,XLE 4dr Sedan (3.5L 6cyl 6A),2016,Midsize,6,V,Regular Unleaded,Front Wheel Driv,Automatic,3505,3.5,264,183,7727,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volkswagen,Passat,1.6 TDI Stationcar,2015,49.7,58.8,61.6,64.4,66.2,69.3,V6 SEL Premium 4dr Sedan (3.6L 6cyl 6A),2015,Midsize,6,V,Gasoline - Premium,Front Wheel Driv,Automatic,3481,3.6,276,190,7674,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Optima,2,2017,44,52.6,57.8,61.5,67.8,67.9,SXL Turbo 4dr Sedan (2.0L 4cyl Turbo 6A),2017,Midsize,4,Inline,Regular Unleaded,Front Wheel Driv,Automatic,3468,2,270,198,7646,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Optima,1.7D,2016,45.5,56.1,60.2,64.6,66.7,70.1,SX 4dr Sedan (2.4L 4cyl 6A),2016,Midsize,4,Inline,Regular Unleaded,Front Wheel Driv,Automatic,3327,2.4,189,133,7335,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Optima,1.7d,2017,45.9,57.8,61,63.3,64.3,67.6,LX 4dr Sedan (2.4L 4cyl 6A),2017,Midsize,4,Inline,Regular Unleaded,Front Wheel Driv,Automatic,3237,2.4,189,133,7136,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volkswagen,Passat,2.0 TDI Stationcar,2015,42.3,56.2,60.6,64.9,66.6,68.3,SEL Premium 4dr Sedan (1.8L 4cyl Turbo 6A),2015,Midsize,4,Inline,Regular Unleaded,Front Wheel Driv,Automatic,3230,1.8,168,136,7121,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volkswagen,Passat,2.0 TDI,2016,44.9,59.8,62.5,65.3,66.2,69.6,Sport PZEV 4dr Sedan (1.8L 4cyl Turbo 6A),2016,Midsize,4,Inline,Regular Unleaded,Front Wheel Driv,Automatic,3230,1.8,168,136,7121,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volkswagen,Passat,1.4,2018,37.1,51.6,57.9,66.3,68.7,69.8,Sport 4dr Sedan (1.8L 4cyl Turbo 6A),2018,Midsize,4,Inline,Regular Unleaded,Front Wheel Driv,Automatic,3230,1.8,168,136,7121,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan,Altima,2.5,2016,41.9,52.3,58.7,62.3,64.4,66.5,2.5 4dr Sedan (2.5L 4cyl CVT),2016,Midsize,4,Inline,Regular Unleaded,Front Wheel Driv,Automatic,3177,2.5,180,133,7004,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Prius,1.8 Hybrid,2016,34.5,56.8,61.3,64.2,68.6,70.6,Two 4dr Hatchback (1.8L 4cyl gas/electric hybrid CVT),2016,Midsize,4,Inline,Regular Unleaded,Front Wheel Driv,Automatic,3042,1.8,132,,6706,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Prius,Hybrid,2017,46.9,58.8,62.5,66.3,69.1,72.7,Four 4dr Hatchback (1.8L 4cyl gas/electric hybrid CVT),2017,Midsize,4,Inline,Regular Unleaded,Front Wheel Driv,Automatic,3042,1.8,132,,6706,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Prius, ,2018,25.9,45.5,53.8,66.8,69.2,71.8,Two 4dr Hatchback (1.8L 4cyl gas/electric hybrid CVT),2018,Midsize,4,Inline,Regular Unleaded,Front Wheel Driv,Automatic,3042,1.8,132,,6706,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,A8,3.0 TDI,2014,39.7,54.2,57.6,60.9,64.7,66.3,3.0T quattro 4dr Sedan AWD (3.0L 6cyl S/C 8A),2014,Midsize,6,V,Gasoline - Premium,All Wheel Drive,Automatic,1980,3,328,240,4365,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volvo,S80,D4,2014,43.5,52.7,56.4,60.6,64.3,67.2,T6 4dr Sedan AWD (3.0L 6cyl Turbo 6A),2014,Midsize,6,Inline,Regular Unleaded,All Wheel Drive,Automatic,1838,3,296,240,4052,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
